MP_Name,Party,State,Session_Name,Days_Attended,Total_Days,Image_URL
Rahul Gandhi,Indian National Congress,Unknown,17th Lok Sabha,139,273,
Shashi Tharoor,Indian National Congress,Unknown,17th Lok Sabha,253,273,
Mahua Moitra,All India Trinamool Congress,Unknown,17th Lok Sabha,226,273,
Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimeen,Unknown,17th Lok Sabha,196,273,
Supriya Sule,Nationalist Congress Party,Unknown,17th Lok Sabha,253,273,
Rajnath Singh,Bharatiya Janata Party,Unknown,17th Lok Sabha,0,273,
Smriti Zubin Irani,Bharatiya Janata Party,Unknown,17th Lok Sabha,0,273,
Adhir Ranjan Chowdhury,Indian National Congress,Unknown,17th Lok Sabha,242,273,
Dimple Yadav,Samajwadi Party,Unknown,17th Lok Sabha,182,273,
Hema Malini,Bharatiya Janata Party,Unknown,17th Lok Sabha,136,273,
Kiren Rijiju,Bharatiya Janata Party,Unknown,17th Lok Sabha,0,273,
Nitin Jairam Gadkari,Bharatiya Janata Party,Unknown,17th Lok Sabha,0,273,
